이름,가격 요약(자동),가슴,구매가,구매일,높이,다리길이,둘레길이,렌즈길이,밑단,밑위,보유,브랜드,브릿지길이,사이즈 요약,상위 카테고리,색상,소매,신발 사이즈,어깨,옵션,정가,제품 요약(자동),챙길이,총장,최종 편집 일시,카테고리,폭,허리,허벅지
척테일러 1970S 로우 화이트,"0원  (85,000원)",,0,2023년 4월 7일,,,,,,,Yes,컨버스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"85,000",컨버스 / 260,,,2025년 1월 2일 오후 1:59,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BW 독일군 스니커즈,"129,000원  (139,000원)",,"129,000",2019년 1월 1일,,,,,,,Yes,아디다스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),화이트,,260,,260,"139,000",아디다스 / 260,,,2025년 1월 2일 오전 11:42,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
BLUCHER 09 leather gum white,"174,000원  (290,000원)",,"174,000",2023년 12월 5일,,,,,,,Yes,그라더스,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),베이지,,265,,265,"290,000",그라더스 / 265,,,2024년 12월 11일 오후 7:51,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
993 Made in USA Gray,"278,000원  (270,000원)",,"278,000",2024년 10월 27일,,,,,,,Yes,뉴발란스,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),그레이/실버,,270,,270,"270,000",뉴발란스 / 270,,,2024년 12월 11일 오후 8:10,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
530 DARK MUSHROOM,"149,000원  (149,000원)",,"149,000",2024년 11월 13일,,,,,,,Yes,뉴발란스,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),브라운,,270,,270,"149,000",뉴발란스 / 270,,,2024년 12월 11일 오후 7:54,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
미카엘 블랙,"280,000원  (699,000원)",,"280,000",2023년 9월 1일,,,,,,,Yes,파라부트,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,260,,41,"699,000",파라부트 / 41,,,2025년 1월 2일 오후 1:31,구두 (https://www.notion.so/158abb41507c80eaaa1dc74501ded78b?pvs=21),,,
BRONSON Slip-On,0원  (0원),,0,2014년 1월 1일,,,,,,,Yes,락포트,,신발 사이즈 265,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,265,,265,0,락포트 / 265,,,2025년 1월 2일 오후 1:20,구두 (https://www.notion.so/158abb41507c80eaaa1dc74501ded78b?pvs=21),,,
CU3958-002 온 덱 플립플랍,"0원  (37,800원)",,0,2018년 10월 1일,,,,,,,Yes,나이키,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,260,,260,"37,800",나이키 / 260,,,2025년 1월 2일 오전 11:42,샌들 (https://www.notion.so/159abb41507c8045b725f18452725873?pvs=21),,,
에코 클로그 앳모스피어,"72,100원  (84,900원)",,"72,100",2023년 6월 28일,,,,,,,Yes,크록스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),그레이/실버,,260,,260,"84,900",크록스 / 260,,,2025년 1월 2일 오후 1:25,샌들 (https://www.notion.so/159abb41507c8045b725f18452725873?pvs=21),,,
BLUCHER 10 Suede Milk,"275,500원  (290,000원)",,"275,500",2023년 10월 1일,,,,,,,Yes,그라더스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),베이지,,260,,260,"290,000",그라더스 / 260,,,2025년 1월 2일 오후 2:02,부츠 (https://www.notion.so/159abb41507c8075a670d3e0facd6a40?pvs=21),,,
Mens Weather or Not Boot,0원  (0원),,0,2015년 1월 1일,,,,,,,Yes,락포트,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,260,,260,0,락포트 / 260,,,2025년 1월 2일 오전 11:42,부츠 (https://www.notion.so/159abb41507c8075a670d3e0facd6a40?pvs=21),,,
WALLABE 26155515,"206,400원  (258,000원)",,"206,400",2023년 12월 1일,,,,,,,Yes,클락스,,신발 사이즈 260,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),베이지,,260,,260,"258,000",클락스 / 260,,,2025년 1월 2일 오후 2:06,부츠 (https://www.notion.so/159abb41507c8075a670d3e0facd6a40?pvs=21),,,
TD3-AC01 피카소 벨트-블랙,"28,000원  (35,000원)",,"28,000",2023년 9월 2일,,,,,,,Yes,토마스모어,,폭 2.5 / 총장 111,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블랙,,,,M,"35,000",토마스모어 / M,,111,2025년 1월 2일 오전 11:05,벨트 (https://www.notion.so/158abb41507c8018b904f3d585897a1d?pvs=21),2.5,,
WB SILK TIE (navy),"55,300원  (69,000원)",,"55,300",2023년 10월 5일,,,,,,,Yes,와일드브릭스,,폭 8 / 총장 150,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),올리브/그린,,,,F,"69,000",와일드브릭스 / F,,150,2025년 1월 2일 오전 11:04,넥타이 (https://www.notion.so/158abb41507c80989bf7ef6e830d6559?pvs=21),8,,
남성 레더 카드 홀더 블랙,"448,000원  (760,000원)",,"448,000",2023년 6월 29일,,,,,,,Yes,프라다,,,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블랙,,,,F,"760,000",프라다 / F,,0,2025년 1월 2일 오전 11:16,지갑 (https://www.notion.so/158abb41507c80d69c1bfee3a5a3b304?pvs=21),,,
Bless Wool Finger Gloves Melange Gray,"49,000원  (49,000원)",,"49,000",2023년 11월 13일,,,,,,,Yes,홀리선,,,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),그레이/실버,,,,F,"49,000",홀리선 / F,,0,2025년 1월 2일 오전 11:03,머플러/장갑 (https://www.notion.so/158abb41507c80359bf0e49fb71d18f1?pvs=21),0,,
Skiff Superfine Wool Knit Rib Muffler Rust Orange,"74,000원  (74,000원)",,"74,000",2023년 12월 10일,,,,,,,Yes,홀리선,,폭 16 / 총장 185,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),오렌지,,,,F,"74,000",홀리선 / F,,185,2025년 1월 2일 오전 11:04,머플러/장갑 (https://www.notion.so/158abb41507c80359bf0e49fb71d18f1?pvs=21),16,,
Skiff Superfine Wool Knit Rib Muffler Opal Gray,"74,000원  (74,000원)",,"74,000",2023년 10월 11일,,,,,,,Yes,홀리선,,폭 16 / 총장 185,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),그레이/실버,,,,F,"74,000",홀리선 / F,,185,2025년 1월 2일 오전 11:04,머플러/장갑 (https://www.notion.so/158abb41507c80359bf0e49fb71d18f1?pvs=21),16,,
캐시미어머플러 인디블루,"60,000원  (98,000원)",,"60,000",2023년 12월 1일,,,,,,,Yes,고비,,폭 30 / 총장 170,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블루/네이비,,,,F,"98,000",고비 / F,,170,2025년 1월 2일 오후 1:29,머플러/장갑 (https://www.notion.so/158abb41507c80359bf0e49fb71d18f1?pvs=21),30,,
"PLANET W - 004 : DOUBLE LINE STONE BRACELET BROWN&BEIGE ","39,900원  (57,800원)",,"39,900",2023년 9월 14일,,,,,,,Yes,크레이터스,,총장 18.5,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),브라운,,,,F,"57,800",크레이터스 / F,,18.5,2025년 1월 2일 오전 11:41,시계/팔찌/반지 (https://www.notion.so/158abb41507c80478077e48e38c3d014?pvs=21),,,
Layred Ring (Man),"196,000원  (198,000원)",,"196,000",2024년 6월 10일,,,,,,,Yes,유스,,,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),그레이/실버,,,,18,"198,000",유스 / 18,,,2024년 12월 11일 오후 8:11,시계/팔찌/반지 (https://www.notion.so/158abb41507c80478077e48e38c3d014?pvs=21),,,
애플워치 SE2 40mm,"149,000원  (329,000원)",,"149,000",2023년 10월 15일,,,,,,,Yes,애플,,,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),화이트,,,,40,"329,000",애플 / 40,,0,2025년 1월 2일 오후 1:35,시계/팔찌/반지 (https://www.notion.so/158abb41507c80478077e48e38c3d014?pvs=21),,,
덕캡 Black,"69,000원  (69,000원)",,"69,000",2023년 12월 1일,13,,62,,,,Yes,유세지,,둘레길이 62 / 챙길이 9 / 높이 13,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블랙,,,,F,"69,000",유세지 / F,9,,2025년 1월 2일 오전 11:41,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
REVERSIBLE BUCKET HAT 012 NAVY,"15,000원  (45,000원)",,"15,000",2023년 11월 11일,8.5,,60,,,,Yes,노티카,,둘레길이 60 / 챙길이 5.5 / 높이 8.5,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블루/네이비,,,,F,"45,000",노티카 / F,5.5,,2025년 1월 2일 오후 1:23,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
GH LETTERING BALL CAP 015 BLUE,"13,500원  (45,000원)",,"13,500",2023년 11월 11일,17,,60,,,,Yes,노티카,,둘레길이 60 / 챙길이 7 / 높이 17,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),블루/네이비,,,,F,"45,000",노티카 / F,7,,2025년 1월 2일 오후 1:20,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
오데사 볼캡,"34,000원  (34,000원)",,"34,000",2020년 1월 1일,11,,59,,,,Yes,칼하트,,둘레길이 59 / 챙길이 7 / 높이 11,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),브라운,,,,F,"34,000",칼하트 / F,7,,2025년 1월 2일 오후 2:06,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
CD CLASSIC LOGO CAP (green),"38,300원  (49,000원)",,"38,300",2023년 10월 15일,0,,60,,,,Yes,와일드브릭스,,둘레길이 60,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),올리브/그린,,,,F,"49,000",와일드브릭스 / F,0,,2025년 1월 2일 오전 11:04,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
"엠블럼 로고 볼 캡 ","26,700원  (31,500원)",,"26,700",2021년 12월 20일,17,,62,,,,Yes,오우너,,둘레길이 62 / 챙길이 7.5 / 높이 17,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),올리브/그린,,,,F,"31,500",오우너 / F,7.5,,2025년 1월 2일 오전 11:10,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
23 B.S.C Logo Ballcap Hawaiian Sunset,"45,000원  (45,000원)",,"45,000",2024년 4월 29일,13,,60,,,,Yes,홀리선,,둘레길이 60 / 챙길이 7 / 높이 13,악세사리 (https://www.notion.so/158abb41507c801ca01ce7507f043e8c?pvs=21),레드,,,,F,"45,000",홀리선 / F,7,,2025년 1월 2일 오후 1:23,모자 (https://www.notion.so/158abb41507c809185f1cc87abfb3a99?pvs=21),,,
폴로 베어 캔버스 토트백 (GREEN),"0원  (189,000원)",,0,2023년 4월 7일,,,,,,,Yes,폴로랄프로렌,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),올리브/그린,,,,F,"189,000",폴로랄프로렌 / F,,,2025년 1월 2일 오후 1:59,토트백 (https://www.notion.so/159abb41507c805b9915c06ae34d99b6?pvs=21),,,
JW앤더슨 토트백,"39,900원  (39,900원)",,"39,900",2023년 11월 3일,,,,,,,Yes,유니클로,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블랙,,,,F,"39,900",유니클로 / F,,,2025년 1월 2일 오후 1:55,토트백 (https://www.notion.so/159abb41507c805b9915c06ae34d99b6?pvs=21),,,
JENA 2WAY HELMET BAG,"388,000원  (388,000원)",,"388,000",2023년 9월 15일,,,,,,,Yes,요시다포터,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블루/네이비,,,,F,"388,000",요시다포터 / F,,,2025년 1월 2일 오전 11:39,크로스백 (https://www.notion.so/159abb41507c801cb591ccaf38842b0c?pvs=21),,,
Leaf Bag (POP CORN),"218,000원  (218,000원)",,"218,000",2023년 10월 4일,,,,,,,Yes,HGBB Studio,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),베이지,,,,F,"218,000",HGBB Studio / F,,,2025년 1월 2일 오전 11:45,크로스백 (https://www.notion.so/159abb41507c801cb591ccaf38842b0c?pvs=21),,,
MJT03001,0원  (0원),,0,2015년 1월 1일,,,,,,,Yes,만다리나덕,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블랙,,,,F,0,만다리나덕 / F,,,2025년 1월 2일 오전 11:45,크로스백 (https://www.notion.so/159abb41507c801cb591ccaf38842b0c?pvs=21),,,
CITY WALKER RUCKSACK 919 Charcoal,"0원  (129,000원)",,0,2024년 10월 20일,,,,,,,Yes,로우로우,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),그레이/실버,,,,F,"129,000",로우로우 / F,,,2025년 1월 2일 오전 11:40,백팩 (https://www.notion.so/159abb41507c808e902ada9bf3f9a9a4?pvs=21),,,
바랑 블랙,"113,000원  (113,000원)",,"113,000",2023년 11월 5일,,,,,,,Yes,무이,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블랙,,,,F,"113,000",무이 / F,,,2025년 1월 2일 오전 11:45,백팩 (https://www.notion.so/159abb41507c808e902ada9bf3f9a9a4?pvs=21),,,
BELMON BACKPACK_DARK GREY (I1218001),0원  (0원),,0,2018년 9월 1일,,,,,,,Yes,쌤소나이트,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블랙,,,,F,0,쌤소나이트 / F,,,2025년 1월 2일 오전 11:40,백팩 (https://www.notion.so/159abb41507c808e902ada9bf3f9a9a4?pvs=21),,,
Heimish Vest Mud,"208,000원  (258,000원)",56.5,"208,000",2024년 12월 11일,,,,,,,Yes,러프사이드,,총장 66 / 어깨 37.5 / 가슴 56.5,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),블랙,0,,37.5,F,"258,000",러프사이드 / F,,66,2025년 12월 27일 오후 1:32,바람막이/플리스 (https://www.notion.so/158abb41507c80da85f5e999e3b9c547?pvs=21),,,
Comfort Shirt,"139,500원  (189,000원)",61,"139,500",2024년 12월 18일,,,,,,,Yes,포터리,,총장 74 / 어깨 52.5 / 가슴 61 / 소매 58.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),화이트,58.5,,52.5,1,"189,000",포터리 / 1,,74,2024년 12월 19일 오전 11:28,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
브로드오버사이즈셔츠(긴팔),"39,900원  (49,900원)",62,"39,900",2024년 12월 17일,,,,,,,Yes,유니클로,,총장 72 / 어깨 53.5 / 가슴 62,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),올리브/그린,0,,53.5,M,"49,900",유니클로 / M,,72,2024년 12월 19일 오후 12:04,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
BEMAS X POLO RALPH LAUREN / Denim Shirt,"230,000원  (257,400원)",57.5,"230,000",2024년 10월 26일,,,,,,,Yes,폴로랄프로렌,,총장 81 / 어깨 47.5 / 가슴 57.5 / 소매 65.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,65.5,,47.5,M,"257,400",폴로랄프로렌 / M,,81,2024년 12월 23일 오후 8:14,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
Elastic Fatigue Pants Light Olive,"138,000원  (138,000원)",,"138,000",2024년 11월 1일,,,,,23.5,32,Yes,러프사이드,,총장 103 / 허리 39 / 허벅지 36 / 밑위 32 / 밑단 23.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,2,"138,000",러프사이드 / 2,,103,2025년 12월 27일 오후 1:33,치노/퍼티그 (https://www.notion.so/158abb41507c80998e00cf4325258b4f?pvs=21),,39,36
Washed Border S/S Tee Moss,"43,200원  (72,000원)",58,"43,200",2024년 12월 30일,,,,,,,Yes,카키스,,총장 71 / 어깨 51 / 가슴 58 / 소매 25.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),올리브/그린,25.5,,51,L,"72,000",카키스 / L,,71,2024년 12월 31일 오후 7:56,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
바닐라 스카이,"82,800원  (154,000원)",60.5,"82,800",2024년 12월 30일,,,,,,,Yes,퍼스트플로어,,총장 77.5 / 어깨 54 / 가슴 60.5 / 소매 61,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,61,,54,48,"154,000",퍼스트플로어 / 48,,77.5,2024년 12월 31일 오후 8:01,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
24FW 테디 쉐르파 베스트,"89,600원  (128,000원)",58.5,"89,600",2024년 12월 30일,,,,,,,Yes,우드비,,총장 66 / 어깨 43 / 가슴 58.5,아우터 (https://www.notion.so/158abb41507c80e49979ce187c70e9c8?pvs=21),와인/퍼플,0,,43,2,"128,000",우드비 / 2,,66,2024년 12월 31일 오후 8:04,바람막이/플리스 (https://www.notion.so/158abb41507c80da85f5e999e3b9c547?pvs=21),,,
여정 (Black),"95,000원  (138,000원)",,"95,000",2025년 1월 1일,,,,,,,Yes,더텅,,,가방 (https://www.notion.so/158abb41507c80ca843ec96166d39be2?pvs=21),블랙,,,,F,"138,000",더텅 / F,,,2025년 1월 2일 오전 10:23,크로스백 (https://www.notion.so/159abb41507c801cb591ccaf38842b0c?pvs=21),,,
알파바운드 슬라이드,"36,800원  (59,000원)",,"36,800",2022년 1월 3일,,,,,,,Yes,아디다스,,신발 사이즈 275,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),블랙,,275,,275,"59,000",아디다스 / 275,,,2025년 1월 2일 오전 11:21,샌들 (https://www.notion.so/159abb41507c8045b725f18452725873?pvs=21),,,
폴라 플리스 스웨트 팬츠,"15,500원  (32,000원)",,"15,500",2021년 11월 11일,,,,,13.3,30.5,Yes,무신사스탠다드,,총장 100 / 허리 36.5 / 허벅지 33.3 / 밑위 30.5 / 밑단 13.3,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,M,"32,000",무신사스탠다드 / M,,100,2025년 1월 2일 오전 11:27,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,36.5,33.3
(기모) 유니섹스 세미 와이드 밴딩 슬랙스,"29,600원  (57,000원)",,"29,600",2021년 11월 22일,,,,,22.5,33,Yes,후러브스아트,,총장 100 / 허리 32 / 허벅지 32 / 밑위 33 / 밑단 22.5,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),블랙,,,,L,"57,000",후러브스아트 / L,,100,2025년 1월 2일 오전 11:30,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,32,32
"ALL WEATHER CARDIGAN ","48,000원  (123,000원)",57.5,"48,000",2024년 3월 4일,,,,,,,Yes,블랭크룸,,총장 65 / 어깨 47.5 / 가슴 57.5 / 소매 60.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,60.5,,47.5,1,"123,000",블랭크룸 / 1,,65,2025년 1월 2일 오후 1:03,가디건 (https://www.notion.so/158abb41507c80a6960bf97b41bac13f?pvs=21),,,
UNI NB Boy 보스턴 반팔티 (OVER FIT),"39,900원  (49,900원)",59,"39,900",2024년 5월 12일,,,,,,,Yes,뉴발란스,,총장 70 / 어깨 53 / 가슴 59 / 소매 49.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),그레이/실버,49.5,,53,L,"49,900",뉴발란스 / L,,70,2025년 1월 2일 오후 1:42,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
UNI IVY BOY&GIRL,"39,900원  (49,900원)",59,"39,900",2023년 5월 1일,,,,,,,Yes,뉴발란스,,총장 70 / 어깨 53 / 가슴 59 / 소매 49.5,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,49.5,,53,L,"49,900",뉴발란스 / L,,70,2025년 1월 2일 오후 1:48,티셔츠 (반팔) (https://www.notion.so/158abb41507c803f8190c880279ac614?pvs=21),,,
히코리 워크셔츠,"29,900원  (29,900원)",62,"29,900",2023년 12월 4일,,,,,,,Yes,유니클로,,총장 76 / 어깨 52 / 가슴 62,상의 (https://www.notion.so/157abb41507c80f8896cd93d2dfc690d?pvs=21),블루/네이비,0,,52,L,"29,900",유니클로 / L,,76,2025년 1월 2일 오후 1:53,셔츠 (긴팔) (https://www.notion.so/158abb41507c80e1b73ece73be1c6cba?pvs=21),,,
턱와이드코듀로이팬츠 30 NATURAL,"19,900원  (29,900원)",,"19,900",2023년 9월 14일,,,,,22,30,Yes,유니클로,,허벅지 36 / 밑위 30 / 밑단 22,하의 (https://www.notion.so/158abb41507c8034aaedd143c3db8dc9?pvs=21),베이지,,,,M,"29,900",유니클로 / M,,,2025년 1월 2일 오후 1:57,스웨트/코듀로이 (https://www.notion.so/158abb41507c8081b174fb97a3b47ad3?pvs=21),,0,36
Moonstar 810s ET027 Marke Modi Beige,"78,400원  (112,000원)",,"78,400",2024년 6월 28일,,,,,,,Yes,문스타,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),베이지,,270,,270,"112,000",문스타 / 270,,,2025년 1월 2일 오후 2:22,부츠 (https://www.notion.so/159abb41507c8075a670d3e0facd6a40?pvs=21),,,
Novablast 4 TR Nature Bathing Fellow Yellow,"188,000원  (188,000원)",,"188,000",2024년 5월 22일,,,,,,,Yes,아식스,,신발 사이즈 270,신발 (https://www.notion.so/158abb41507c801cb77bde899c7b4437?pvs=21),오렌지,,270,,270,"188,000",아식스 / 270,,,2025년 1월 2일 오후 2:27,스니커즈 (https://www.notion.so/159abb41507c80fb92c8cc6ba10fbafe?pvs=21),,,
